SN,BBMP Zone,Ward Number,Ward Name,Date of identification as Containment zone,Total Number of positive cases,Containment Zone ID,Date of return to normal,Status
181,Yelahanka,3,Atturu,29-07-2020,1,Y-A-986,11-08-2020,ACTIVE
182,Yelahanka,3,Atturu,29-07-2020,1,Y-A-987,11-08-2020,ACTIVE
183,Yelahanka,3,Atturu,29-07-2020,1,Y-A-988,11-08-2020,ACTIVE
184,Yelahanka,3,Atturu,29-07-2020,2,Y-A-989,11-08-2020,ACTIVE
185,Yelahanka,3,Atturu,29-07-2020,1,Y-A-990,11-08-2020,ACTIVE
186,Yelahanka,3,Atturu,29-07-2020,2,Y-A-991,11-08-2020,ACTIVE
187,Yelahanka,3,Atturu,29-07-2020,1,Y-A-992,11-08-2020,ACTIVE
188,Yelahanka,3,Atturu,29-07-2020,1,Y-A-993,11-08-2020,ACTIVE
189,Yelahanka,3,Atturu,29-07-2020,1,Y-A-994,11-08-2020,ACTIVE
190,Yelahanka,3,Atturu,01-08-2020,1,Y-AP-1150,14-08-2020,ACTIVE
191,Yelahanka,3,Atturu,20-07-2020,1,Y-AP-565,02-08-2020,ACTIVE
192,Yelahanka,3,Atturu,22-07-2020,1,Y-AP-647,04-08-2020,ACTIVE
193,Yelahanka,3,Atturu,22-07-2020,1,Y-AP-653,04-08-2020,ACTIVE
194,Yelahanka,3,Atturu,23-07-2020,2,Y-AP-693,05-08-2020,EXTENDED
195,Yelahanka,3,Atturu,23-07-2020,1,Y-AP-695,05-08-2020,EXTENDED
196,Yelahanka,3,Atturu,26-07-2020,1,Y-AP-838,08-08-2020,ACTIVE
197,Yelahanka,3,Atturu,28-07-2020,1,Y-AP-938,10-08-2020,ACTIVE
198,Yelahanka,3,Atturu,03-08-2020,1,Y-A-1239,17-08-2020,ACTIVE
199,Yelahanka,3,Atturu,03-08-2020,1,Y-A-1240,17-08-2020,ACTIVE
200,Yelahanka,3,Atturu,03-08-2020,1,Y-A-1242,17-08-2020,ACTIVE
201,Yelahanka,3,Atturu,03-08-2020,1,Y-A-1243,17-08-2020,ACTIVE
202,Yelahanka,3,Atturu,03-08-2020,1,Y-A-1244,17-08-2020,ACTIVE
203,Yelahanka,3,Atturu,03-08-2020,1,Y-A-1245,17-08-2020,ACTIVE
204,Yelahanka,3,Atturu,03-08-2020,1,Y-A-1246,17-08-2020,ACTIVE
205,Yelahanka,3,Atturu,03-08-2020,1,Y-AP-1238,17-08-2020,ACTIVE
206,Yelahanka,3,Atturu,03-08-2020,1,Y-AP-1241,17-08-2020,ACTIVE
207,Yelahanka,3,Atturu,04-08-2020,1,Y-A-1300,17-08-2020,ACTIVE
208,Yelahanka,3,Atturu,04-08-2020,1,Y-A-1301,17-08-2020,ACTIVE
209,Yelahanka,3,Atturu,04-08-2020,1,Y-A-1302,17-08-2020,ACTIVE
210,Yelahanka,3,Atturu,04-08-2020,1,Y-A-1303,17-08-2020,ACTIVE
211,Yelahanka,3,Atturu,04-08-2020,1,Y-A-1304,17-08-2020,ACTIVE
212,Yelahanka,3,Atturu,04-08-2020,1,Y-A-1307,17-08-2020,ACTIVE
213,Yelahanka,3,Atturu,04-08-2020,1,Y-AP-1305,17-08-2020,ACTIVE
214,Yelahanka,3,Atturu,04-08-2020,1,Y-AP-1306,17-08-2020,ACTIVE
215,Yelahanka,4,Yelahanka Satellite Town,30-07-2020,1,Y-A-1048,12-08-2020,ACTIVE
216,Yelahanka,4,Yelahanka Satellite Town,30-07-2020,1,Y-A-1049,12-08-2020,ACTIVE
217,Yelahanka,4,Yelahanka Satellite Town,30-07-2020,2,Y-A-1050,12-08-2020,ACTIVE
218,Yelahanka,4,Yelahanka Satellite Town,30-07-2020,1,Y-A-1051,12-08-2020,ACTIVE
219,Yelahanka,4,Yelahanka Satellite Town,30-07-2020,1,Y-A-1052,12-08-2020,ACTIVE
220,Yelahanka,4,Yelahanka Satellite Town,30-07-2020,1,Y-A-1053,12-08-2020,ACTIVE
221,Yelahanka,4,Yelahanka Satellite Town,30-07-2020,2,Y-A-1054,12-08-2020,ACTIVE
222,Yelahanka,4,Yelahanka Satellite Town,31-07-2020,1,Y-A-1103,13-08-2020,ACTIVE
223,Yelahanka,4,Yelahanka Satellite Town,31-07-2020,1,Y-A-1104,13-08-2020,ACTIVE
224,Yelahanka,4,Yelahanka Satellite Town,31-07-2020,1,Y-A-1105,13-08-2020,ACTIVE
225,Yelahanka,4,Yelahanka Satellite Town,01-08-2020,1,Y-A-1152,14-08-2020,ACTIVE
226,Yelahanka,4,Yelahanka Satellite Town,01-08-2020,1,Y-A-1153,14-08-2020,ACTIVE
227,Yelahanka,4,Yelahanka Satellite Town,01-08-2020,1,Y-A-1154,14-08-2020,ACTIVE
228,Yelahanka,4,Yelahanka Satellite Town,01-08-2020,1,Y-A-1155,14-08-2020,ACTIVE
229,Yelahanka,4,Yelahanka Satellite Town,01-08-2020,1,Y-A-1156,14-08-2020,ACTIVE
230,Yelahanka,4,Yelahanka Satellite Town,02-08-2020,1,Y-A-1202,15-08-2020,ACTIVE
231,Yelahanka,4,Yelahanka Satellite Town,02-08-2020,1,Y-A-1203,15-08-2020,ACTIVE
232,Yelahanka,4,Yelahanka Satellite Town,02-08-2020,1,Y-A-1204,15-08-2020,ACTIVE
233,Yelahanka,4,Yelahanka Satellite Town,02-08-2020,1,Y-A-1205,15-08-2020,ACTIVE
234,Yelahanka,4,Yelahanka Satellite Town,02-08-2020,1,Y-A-1206,15-08-2020,ACTIVE
235,Yelahanka,4,Yelahanka Satellite Town,02-08-2020,1,Y-A-1207,15-08-2020,ACTIVE
236,Yelahanka,4,Yelahanka Satellite Town,02-08-2020,1,Y-A-1208,15-08-2020,ACTIVE
237,Yelahanka,4,Yelahanka Satellite Town,02-08-2020,1,Y-A-1209,15-08-2020,ACTIVE
238,Yelahanka,4,Yelahanka Satellite Town,02-08-2020,2,Y-A-1210,15-08-2020,ACTIVE
