PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC	PUBLIC
DB_LASTUPDATED_SET	S. No	Incident Location	District	State/UT	Date of incident	No. of deaths	Reason of death	Source	Date of publication	Link
SET_APRIL8	13	Rajamandri	East Godavari	Andhra Pradesh	March 27,2020	2	Suicide, Fear of Infection	Vijaya Karnataka	March 27,2020	https://vijaykarnataka.com/news/hyderabad/couple-commits-suicide-after-alleged-fear-of-coronavirus-in-andhra-pradesh/articleshow/74851981.cms
SET_APRIL8	14	Bantvala	Dakshina Kannada	Karnataka	March 27,2020	1	Suicide, Lockdown	Prajavaani	March 27,2020	https://www.prajavani.net/stories/stateregional/man-hanged-himself-due-to-coronavirus-fear-in-bantwal-dakshina-kannada-715395.html
SET_APRIL8	15	Shiye	Kolhapur	Maharashtra	March 26, 2020	1	Suicide, fear of lockdown	loksatta (marathi)	March 28, 2020	https://www.loksatta.com/kolhapur-news/coronavirus-fear-old-women-commits-suicide-in-kolhapur-nck-90-2118295/
SET_APRIL8	16	Palanpur	Gujarat	Gujarat	April 4, 2020	1	Suicide, Home Qurantine	Navbharat times (hindi)	April 4, 2020	https://navbharattimes.indiatimes.com/state/gujarat/ahmedabad/businessman-who-was-in-quarantine-commits-suicide-in-gujarat/articleshow/74977658.cms
SET_APRIL8	17	Sathiyala village	Amritsar	Punjab	April 4, 2020	2	Suicide, fear of infection	Navbharat times (hindi)	April 4, 2020	https://navbharattimes.indiatimes.com/state/gujarat/ahmedabad/businessman-who-was-in-quarantine-commits-suicide-in-gujarat/articleshow/74977658.cms
SET_APRIL8	18	Shamli	Shamli	Uttar Pradesh	April 2, 2020	1	Suicide, suspected patient	Deccan Herald 	April 2, 2020	https://www.deccanherald.com/national/north-and-central/up-suspected-covid-19-patient-commits-suicide-in-quarantine-ward-820493.html
SET_APRIL8	19	Ukhra 	West Burdwan	West Bengal	March 27, 2020	1	Suicide, fear of infection	The Federal	March 27, 2020	https://thefederal.com/covid-19/2-commit-suicide-in-bengal-over-fear-of-contracting-coronavirus/
SET_APRIL8	20	Dogachi village	Nadia	West Bengal	March 26, 2020	1	Suicide, fear of infection	The Federal	March 27, 2020	https://thefederal.com/covid-19/2-commit-suicide-in-bengal-over-fear-of-contracting-coronavirus/
SET_APRIL8	21	Tagapani	Dhamatri	Chattisgarh		1	Suicide, lonliness, quarantine	New Indian Express	March 31, 2020	https://www.newindianexpress.com/nation/2020/mar/31/chhattisgarh-man-under-home-isolation-for-covid-19-symptoms-commits-suicide-2123860.html
SET_APRIL8	1	Raichur	Raichur	Karnataka	March 29,2020	1	Dehydration, lack of transportation	Chetna Belagere, Twitter	March 29,2020	https://twitter.com/chetanabelagere/status/1244168001009537027
SET_APRIL8	2	Assam	Assam	Assam	March 29, 2020	1	Had cancer, travelled by moped with family, lockdown	Twitter	March 29,2020	https://twitter.com/i_theindian/status/1244227668200968199
SET_APRIL8	3	Chodavaram Block	Visakhapatnam	Andhra Pradesh	March 31, 2020	1	Death by waiting in the sun	Twitter	March 31,2020	https://twitter.com/samalochana/status/1244559699208355840
SET_APRIL8	4	Uniara	Tonk	Rajasthan	March 28,2020	1	Health deterioration, Migration	Patrika	March 30,2020	https://www.patrika.com/tonk-news/worker-s-death-in-uniyara-in-lockdown-5946289/
SET_APRIL8	5	Gorantla	Anantapur	Andhra Pradesh	March 25, 2020	1	Medical Emergency, access to care denied, Lockdown	Loksatta (Marathi)	March 31, 2020	https://www.loksatta.com/desh-videsh-news/coronavirus-amid-lockdown-andhra-man-walks-for-88-km-with-5-year-old-sons-body-to-reach-nearest-crematorium-scsg-91-2120219/
SET_APRIL8	6	Sikandra Rao	Hathras	Uttar Pradesh	March 29, 2020	1	Had cancer, travelled by moped with family, lockdown caused loss of livelihood	Beyond headlines, Jagran	March 29, 2020	https://www.jagran.com/uttar-pradesh/sidharth-nagar-death-to-cancer-20149641.html
SET_APRIL8	7	Kannuaj	Kannauj	Uttar Pradesh	March 29, 2020	1	Lost balance of the bike and hit divider while going home	Pioneer	March 30,2020	https://www.dailypioneer.com/2020/state-editions/migrant-workers-die-in-mishap.html
SET_APRIL8	8	Panchmala	Gujarat	Gujarat	April 1, 2020	1	Stray dog snatched a newborn, no staff around	Deccan Herald	April 1, 2020	https://www.deccanherald.com/amp/national/west/gujarat-stray-dog-takes-away-new-born-from-govt-hospital-kills-820196.html
SET_APRIL8	9	Agra	Agra	Uttar Pradesh	March 31, 2020	1	Suicide, asked to leave after lockdown	Telegraph	April 1, 2020	https://www.telegraphindia.com/india/shillong-boy-found-dead-atop-agra-eatery/cid/1760954
SET_APRIL8	13	Pudukkottai	Pudukkottai	Tamil Nadu	March 27, 2020	1	Unclear - financial issues (not connected to COVID directly) or isolation	New Indian Express	March 28, 2020	https://www.newindianexpress.com/states/tamil-nadu/2020/mar/28/wrongly-quarantined-by-family-man-ends-life-2122443.amp?__twitter_impression=true
SET_APRIL8	14			Madhya Pradesh		1	Suicide, Front-line medical staff work stress	TOI Reporter on Twitter	April 4, 2020	https://twitter.com/PNaveenTOI/status/1246498613615677445
SET_APRIL8	16			Arunachal Pradesh	April 3, 2020	1	Suicide, Front-line medical staff work stress	Amar Ujala	April 4,2020	https://www.amarujala.com/india-news/female-officer-commits-suicide-in-arunachal-due-to-fear-of-coronavirus
SET_APRIL8	17	Partiala	Patiala	Punjab	March 30, 2020	1	Delay in treatment	Tribune India	March 31, 2020	https://www.tribuneindia.com/news/punjab/covid-deceased-ludhiana-woman-was-referred-to-patiala-as-civil-hospitals-ventilators-not-operational-63658
SET_APRIL8	18	Mukhathala panchayat	Kollam	Kerala	March 29, 2020	1	Withdrawal	Tribune India	March 31, 2020	https://www.tribuneindia.com/news/nation/no-booze-8-commit-suicide-in-kerala-64002
